"","SYMBOL","tstat","pval","adjp"
"1","FCGBP",-15.2434539451964,3.18519360175657e-28,2.71886256783681e-26
"2","MUC2",-13.4209215959695,1.18616802194112e-24,6.39066326882845e-23
"3","CLCA1",-12.4002320149313,2.0005781780884e-23,9.34995787863751e-22
"4","BDH1",-12.6968784410084,5.85815012702582e-24,2.92589037531796e-22
"5","NANS",-12.3368297635391,2.70411796517869e-23,1.24218640000419e-21
"6","LRRC31",-13.9038137242804,1.668467409018e-27,1.30604336734611e-25
"7","SLC22A23",-12.2486885632148,2.02773263476285e-23,9.42639171036493e-22
"8","MRAP2",-12.4435884734213,2.01415253501807e-23,9.3882634582845e-22
"9","ST6GALNAC1",-13.5179411991607,1.69888721989254e-23,8.01507440822816e-22
"10","CES3",-12.7495688422196,1.10213964399003e-24,5.96556577534573e-23
