"","GSM972389","GSM972390","GSM972396","GSM972401","GSM972409","GSM972412","GSM972413","GSM972422","GSM972429","GSM972433","GSM972438","GSM972440","GSM972443","GSM972444","GSM972446","GSM972453","GSM972457","GSM972459","GSM972463","GSM972467","GSM972472","GSM972473","GSM972475","GSM972476","GSM972477","GSM972479","GSM972480","GSM972487","GSM972488","GSM972489","GSM972496","GSM972502","GSM972510","GSM972512","GSM972521"
"1552309_a_at",7.06279364000121,4.32880719485103,5.17616651912955,6.29924656503826,5.5905287132112,4.88356769961493,6.1702955280807,5.65280197747522,3.80935612671928,8.37950889982301,7.81840649520898,6.63060462130675,5.01144753873203,7.40941103741842,4.93586053140545,4.55871669066463,4.4935331141289,4.59704126921323,4.46003147386386,9.65175056915256,5.02471599898402,5.22973290411652,3.73058420389622,8.35814079010258,4.57380370043379,7.42222647939802,4.31689535774071,4.04320814059856,4.44514549199963,4.44705217297564,4.19376195880916,4.47534997195874,4.44280181167049,4.44699403646507,6.31277245830418
"1552365_at",7.72880395442614,5.88826432862561,4.16634898316682,4.24072453146911,5.56009388864926,5.41285940535474,4.49895113632565,5.17961553824855,7.01847787174323,7.39012766044918,6.42219858169319,5.28791124092873,4.13357717923544,6.88145985816003,4.92230788693431,5.23125851124302,7.90661497592201,6.87537107200516,6.54640134470399,3.63801159401421,6.32157755639033,7.56092044335767,7.52499517663873,3.96382474998926,5.85072552538177,4.37070356467545,5.58978253903078,8.06833761649946,7.41852131573294,6.90950903692696,4.00450162982324,4.3325077391739,6.55794179439714,7.20442730851673,5.76917104087062
"1552367_a_at",6.21575536228539,4.20743975233951,3.93976933556686,3.46033637235356,4.38761849992081,4.323405610228,4.1614567894962,4.53554011830354,6.05252595115145,5.01384500902045,4.22075861757342,3.8179658062889,4.03016530253411,5.65061345520254,3.88755767285888,4.27550332131979,6.60950191484157,5.18388039361222,5.38803504176599,3.36016809739931,4.95863697122213,6.09939641007873,6.07500685876863,3.11336082047077,4.95195593259854,3.10476566854658,4.01873798164634,6.65557439547131,6.11416685608474,5.27325205329131,3.59169679331073,3.7407411757547,5.47719190308623,5.66611990347571,4.27247056910818
"1552502_s_at",5.36293093874576,5.00074307977931,5.52401265354588,4.23039818525351,3.75568779217702,4.19691278337826,4.20204274475218,4.08115433851136,6.38480490099973,5.0025392587742,4.75882017276683,4.61538385849431,3.38899678205177,4.39011188752162,3.86959980680665,4.65069727847836,6.04916552138966,3.47891697130304,5.30707143805877,1.67503544614662,4.89181614762878,6.07078854341486,6.24055500311183,3.8341447947188,5.64711169337037,4.86186194688045,4.70712851939554,6.7337721657395,6.50950672931843,5.56695882565128,5.74883973691188,5.8677889370078,5.71657330303501,4.40371771174082,3.65421537092535
"1552508_at",4.12126144702259,4.3541326994926,4.12635602275631,6.17231367795841,5.66812301805241,3.78514989689716,4.80113732397301,6.25003967135892,4.20174856702677,5.0727137670489,5.93896935569406,5.17834275961802,3.75441435270786,5.49971324311889,4.32663793165189,3.66621687857419,3.98798643445099,3.76364029727039,3.77102876100474,5.58055035209571,4.60355436746222,3.93411761932646,4.09534063983086,5.53441393091642,3.96658674173189,7.19756150519284,4.09763557426817,4.04122560025502,4.22541122042605,4.13879411628938,4.173926032147,4.12535949867291,4.44681240322554,4.4518239098187,4.67313094437028
"1552735_at",3.33511486230659,3.95127657497382,3.25713082764531,3.27893430798545,3.56132648410752,3.31315563401235,4.16573319435625,3.22628634651568,3.37321902473835,3.4350996140944,6.2405296814016,3.56643614912429,5.6811889225505,3.99363255077146,4.83013924198506,3.69302967263508,3.32841233382523,3.85904721955952,3.18739550907491,5.02277648207409,3.27263237890396,3.38996830719195,3.42797294823278,3.89480703350763,3.69981424101691,4.11042811069597,2.93957779228675,2.95555788784409,3.17154390324979,3.52682881487488,4.88099575904294,4.62735379761814,2.87873847484476,4.66055500834589,3.68587567934844
"1552767_a_at",4.56369688299819,6.0754423268752,4.07461394311022,3.93487068422783,4.0540033268682,5.05266624352835,6.36106240903416,3.45489643408777,4.38793786385853,3.96648448257186,7.23290081935094,7.19109152054442,3.28902331851493,7.66677276444676,7.84040333284747,7.49264346596283,6.5283804420937,3.4773282489502,3.43264245637288,5.82049062615019,3.51365234555955,8.47875521126494,3.90156204473946,7.93251895070287,8.99857053462379,6.21629031562486,3.51111755263942,6.64555543369351,4.7189749397166,4.18447455549496,7.39934455049558,6.41058261439114,7.44492626960392,3.8509428043065,7.67216511427597
"1552797_s_at",4.14610031679509,6.65273400382397,6.43780196642628,5.89840815416319,3.64838741398362,5.72607890794258,4.70156714915113,4.89772443767212,8.01295883278417,6.47493121176345,6.61377421417717,5.06252832452992,7.12535006606682,8.81562169867365,4.4822510557364,7.87338272500445,5.0760971655863,5.02167749365637,7.69418079129017,3.45344456890034,3.14770203458635,7.65202034941245,4.84203536465233,3.18679162727739,6.37936928151098,5.90959424516734,7.45768535880557,6.34697554701185,6.57596035207506,6.02401540210333,6.06107930584892,8.35245106956665,6.29645696556751,5.33285407028791,4.88788565279858
"1552834_at",7.98994231679632,5.00897611034234,7.89674340329404,5.59068090910793,4.54744481196193,6.56043061646183,5.00548591897902,5.05398751760945,7.00365935505213,4.89183145267211,6.29341183327246,5.32960540571411,5.76117481291513,4.77754685030359,5.99520274572112,6.25707068427689,7.10734051060164,7.23458921894798,6.7949711908428,4.25456638315044,8.19603109263507,5.94695623107355,8.70905264224519,4.43813074293896,5.02374732832884,7.72009808202866,6.55701015134971,6.96976177769175,7.52138514919968,6.11985664307173,5.52605454161395,7.52799468741237,6.67483312996532,4.65600033409944,5.00944864095703
"1552848_a_at",6.10046837991598,3.3838014466854,4.37844528703028,3.45832930441737,3.19747525061171,3.37354365428365,4.06565666975593,3.92170868890555,3.28547909112283,5.73682429996126,3.72014235015512,3.60000501689633,3.50203680562127,3.57993379221814,3.79825614438704,3.05451776265536,3.05352116621201,4.72473608100402,5.29410460860647,6.92846433894033,3.05093101805728,2.99060590717275,3.45770710738331,4.80228506983063,3.15596711633518,3.96121168817843,3.27064194299608,3.59785731249205,3.47064486153451,4.58176481947347,3.38085189940765,3.32010021502443,3.35531952391206,3.60807043834743,4.13296048935703
