"","IDs","tstat","pval","adjp"
"1932","204457_s_at","-13.8689723214571","1.88879546844156e-12",1.01541644383418e-08
"7554","226930_at","-12.657883881059","1.43685695030471e-12",1.01541644383418e-08
"1279","202766_s_at","-10.7392488976259","1.37467409998379e-11",1.85134424302601e-08
"1344","202948_at","-11.0393602164819","1.50624602815022e-11",1.85134424302601e-08
"3089","208782_at","-10.531865476137","1.72186034507627e-11",1.85134424302601e-08
"4025","212298_at","-10.5530187640168","7.387565023071e-12",1.85134424302601e-08
"5155","217764_s_at","-11.5812176550205","1.15209031814621e-11",1.85134424302601e-08
"6443","223122_s_at","-10.877396527155","7.64983394955974e-12",1.85134424302601e-08
"6932","225242_s_at","-11.84013207984","1.5767189022881e-11",1.85134424302601e-08
"10725","65718_at","-10.2738204989147","1.0313931344114e-11",1.85134424302601e-08
"5646","219506_at","-11.5456644858681","2.58540942124907e-11",2.52712019066091e-08
"9060","232458_at","-10.7837911782602","2.8830782856387e-11",2.58323814393228e-08
"1883","204359_at","-11.7889165942725","4.18909672140033e-11",3.46470522680741e-08
"5318","218559_s_at","-11.2460252917052","4.65360345152348e-11",3.57396745077003e-08
"4038","212354_at","-10.3702773557852","5.58426460410255e-11",3.99820311091707e-08
"4779","214844_s_at","-11.2542136579816","5.94970701029326e-11",3.99820311091707e-08
"4037","212353_at","-9.96020015415799","7.04598547844841e-11",4.45637858025161e-08
"6936","225265_at","-9.72679312306698","9.50991498334437e-11",5.6805892167177e-08
"3255","209348_s_at","-10.9555650529276","1.13307479965652e-10",6.39629377439281e-08
"6456","223194_s_at","9.33813592450342","1.18978678839152e-10",6.39629377439281e-08
"6759","224694_at","-9.98106284428337","1.39794757212274e-10",7.15749156926843e-08
"1920","204438_at","-9.9183021490346","1.72733597693752e-10",8.25605903843767e-08
"5153","217762_s_at","-10.5370051781229","1.76608405770151e-10",8.25605903843767e-08
"777","201110_s_at","-9.04154778942081","1.9760831816868e-10",8.76498848379485e-08
"6112","221729_at","-9.28111371509564","2.03799025385855e-10",8.76498848379485e-08
"2013","204646_at","-8.96509621336875","2.65293167605277e-10",1.01872576360426e-07
"4135","212667_at","-9.46195484588611","2.46705257183282e-10",1.01872576360426e-07
"6113","221730_at","-9.38195379342099","2.5674043565816e-10",1.01872576360426e-07
