"","IDs","tstat","pval","adjp"
"209","204457_s_at","-13.8689723214571","1.88879546844156e-12",1.3995974421152e-09
"1030","226930_at","-12.657883881059","1.43685695030471e-12",1.3995974421152e-09
"910","223122_s_at","-10.877396527155","7.64983394955974e-12",3.77901797108251e-09
"124","202766_s_at","-10.7392488976259","1.37467409998379e-11",4.67339482638193e-09
"964","225242_s_at","-11.84013207984","1.5767189022881e-11",4.67339482638193e-09
"1265","232458_at","-10.7837911782602","2.8830782856387e-11",7.12120336552759e-09
"199","204359_at","-11.7889165942725","4.18909672140033e-11",8.86891620159327e-09
"707","214844_s_at","-11.2542136579816","5.94970701029326e-11",1.10218322365683e-08
"607","212353_at","-9.96020015415799","7.04598547844841e-11",1.16023894211784e-08
"206","204438_at","-9.9183021490346","1.72733597693752e-10",2.5599119178214e-08
"226","204646_at","-8.96509621336875","2.65293167605277e-10",3.27637061992517e-08
"877","221730_at","-9.38195379342099","2.5674043565816e-10",3.27637061992517e-08
"499","209335_at","-10.3411904938355","3.1002688544575e-10",3.44823831948832e-08
"1020","226777_at","-9.98668288579768","3.25744510612932e-10",3.44823831948832e-08
"100","201843_s_at","-10.7477743432848","5.00016216970068e-10",3.7538838787173e-08
"271","205100_at","-13.1106694198686","5.065970146717e-10",3.7538838787173e-08
"640","213413_at","-10.3496214032715","4.61227473493651e-10",3.7538838787173e-08
"970","225481_at","-10.4753043169296","4.55403948793188e-10",3.7538838787173e-08
"1001","226311_at","-9.16967008495242","4.91998271037265e-10",3.7538838787173e-08
"1034","227059_at","-10.7667610811639","4.29413100715832e-10",3.7538838787173e-08
"667","213905_x_at","-9.07489408677396","5.86537794014713e-10",4.13928100347526e-08
"99","201842_s_at","-9.61871264602951","7.08159496036447e-10",4.38677665420034e-08
"613","212636_at","-10.3482313989187","7.10409174769285e-10",4.38677665420034e-08
"1066","227566_at","-9.28309661110745","6.85221621232642e-10",4.38677665420034e-08
"996","226237_at","-9.00398511682133","7.55264247317441e-10",4.47720645809779e-08
"133","202995_s_at","-9.89021831529169","9.46376219143145e-10",5.39434444911593e-08
"224","204619_s_at","-9.11832101566583","1.01107911983977e-09",5.54970094667607e-08
"736","215646_s_at","-8.89372023753708","1.05180724097242e-09",5.56706546828974e-08
"149","203603_s_at","-10.2818190871925","1.27244004245996e-09",6.01228221293774e-08
"375","206026_s_at","-8.96082303587184","1.20407798593545e-09",6.01228221293774e-08
"631","213125_at","-9.79244458391318","1.29326060769926e-09",6.01228221293774e-08
"1240","231766_s_at","-8.76500871254983","1.29819858848858e-09",6.01228221293774e-08
"43","1555778_a_at","-8.24517090738715","1.60374362648527e-09",7.20226683167021e-08
"151","203645_s_at","-9.51931722246175","1.66258315416004e-09",7.24690657195641e-08
"606","212344_at","-9.78773727511806","1.76104012475308e-09",7.4567470425259e-08
"909","223121_s_at","-10.8654240146847","1.93037084888108e-09",7.94669332789378e-08
"1024","226834_at","-10.1676728385552","2.07736991261111e-09",8.32070867699909e-08
"595","211571_s_at","-8.980719050246","2.22794181573863e-09",8.46617889980679e-08
"973","225651_at","-8.395422021224","2.1725275004106e-09",8.46617889980679e-08
"136","203083_at","-8.49849890839342","2.52092241645853e-09",9.11221224680864e-08
"642","213429_at","-9.27684974386127","2.50964672666871e-09",9.11221224680864e-08
"1245","231879_at","-8.61306788145995","2.61649447901363e-09",9.23248766166238e-08
"112","202363_at","-10.0301745141118","2.71407597200588e-09",9.3540943965412e-08
